symbol,name,market
2029,盛餘股份有限公司,TW
2030,彰源企業股份有限公司,TW
2031,新光鋼鐵股份有限公司,TW
2032,新鋼工業股份有限公司,TW
2033,佳大世界股份有限公司,TW
2034,允強實業股份有限公司,TW
2038,海光企業股份有限公司,TW
2049,上銀科技股份有限公司,TW
2059,川湖科技股份有限公司,TW
2062,橋椿金屬股份有限公司,TW
2069,運錩鋼鐵股份有限公司,TW
2101,南港輪胎股份有限公司,TW
2102,泰豐輪胎股份有限公司,TW
2103,台橡股份有限公司,TW
2104,國際中橡投資控股股份有限公司,TW
2105,正新橡膠工業股份有限公司,TW
2106,建大工業股份有限公司,TW
2107,厚生股份有限公司,TW
2108,南帝化學工業股份有限公司,TW
2109,華豐橡膠工業股份有限公司,TW
2114,鑫永銓股份有限公司,TW
2115,六暉控股股份有限公司,TW
2201,裕隆汽車製造股份有限公司,TW
2204,中華汽車工業股份有限公司,TW
2206,三陽工業股份有限公司,TW
2207,和泰汽車股份有限公司,TW
2208,台灣國際造船股份有限公司,TW
2211,長榮鋼鐵股份有限公司,TW
2227,裕隆日產汽車股份有限公司,TW
2228,劍麟股份有限公司,TW
2231,為升電裝工業股份有限公司,TW
2233,宇隆科技股份有限公司,TW
2236,百達精密工業股份有限公司,TW
2239,開曼英利工業股份有限公司,TW
2241,艾姆勒科技股份有限公司,TW
2243,宏旭控股股份有限公司,TW
2247,汎德永業汽車股份有限公司,TW
2248,華勝汽車電子股份有限公司,TW
2250,第一化成控股(開曼)股份有限公司,TW
2254,巨鎧精密工業股份有限公司,TW
2258,鴻華先進科技股份有限公司,TW
2301,光寶科技股份有限公司,TW
2302,麗正國際科技股份有限公司,TW
2303,聯華電子股份有限公司,TW
2305,全友電腦股份有限公司,TW
2308,台達電子工業股份有限公司,TW
2312,金寶電子工業股份有限公司,TW
2313,華通電腦股份有限公司,TW
2314,台揚科技股份有限公司,TW
2316,楠梓電子股份有限公司,TW
2317,鴻海精密工業股份有限公司,TW
2321,東訊股份有限公司,TW
2323,中環股份有限公司,TW
2324,仁寶電腦工業股份有限公司,TW
2327,國巨股份有限公司,TW
2328,廣宇科技股份有限公司,TW
2329,華泰電子股份有限公司,TW
2330,台灣積體電路製造股份有限公司,TW
2331,精英電腦股份有限公司,TW
2332,友訊科技股份有限公司,TW
2337,旺宏電子股份有限公司,TW
2338,台灣光罩股份有限公司,TW
2340,台亞半導體股份有限公司,TW
2342,台灣茂矽電子股份有限公司,TW
2344,華邦電子股份有限公司,TW
2345,智邦科技股份有限公司,TW
